"Accepted Symbol" "Synonym Symbol" "Scientific Name" "Common Name" "State and Province" "Duration" "Growth Habit" "Native Status" "Active Growth Period" "Flower Color" "Flower Conspicuous" "Height  Mature (feet)" "Lifespan" "Drought Tolerance" "Shade Tolerance" "Bloom Period" 
"RONU" "" "Rosa nutkana" "Nootka rose" "USA (AK  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Subshrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "10" "Moderate" "Low" "Tolerant" "Late Spring" 
"ROPA" "" "Rosa palustris" "swamp rose" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  PA  RI  SC  TN  VA  VT  WI  WV)  CAN (NB  NS  ON  QC)" "Perennial" "Subshrub" "L48 (N)  CAN (N)" "Summer" "Red" "Yes" "8.2" "Long" "Low" "Tolerant" "Spring" 
"ROPI2" "" "Rosa pisocarpa" "cluster rose" "USA (CA  ID  OR  WA)  CAN (BC)" "Perennial" "Subshrub" "L48 (N)  CAN (N)" "" "Red" "Yes" "3.0" "Short" "Medium" "Intolerant" "Summer" 
"ROSE2" "" "Rosa setigera" "climbing rose" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  MI  MO  MS  NC  NE  NH  NJ  NY  OH  OK  PA  SC  TN  TX  VA  WI  WV)  CAN (ON)" "Perennial" "Vine  Subshrub" "L48 (N)  CAN (N)" "Spring" "White" "Yes" "16" "Moderate" "High" "Intolerant" "Spring" 
"ROVI2" "" "Rosa virginiana" "Virginia rose" "USA (AL  AR  CT  DC  DE  GA  IL  KY  MA  MD  ME  MO  NC  NH  NJ  NY  PA  RI  TN  VA  VT)  CAN (NB  NF  NS  ON  PE  QC)  FRA (SPM)" "Perennial" "Subshrub" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "Purple" "Yes" "6.0" "Moderate" "Low" "Intermediate" "Late Spring" 
"ROWO" "" "Rosa woodsii" "Woods' rose" "USA (AK  AZ  CA  CO  IA  ID  KS  MN  MT  ND  NE  NM  NV  OK  OR  SD  TX  UT  WA  WI  WY)  CAN (AB  BC  MB  NT  ON  QC  SK  YT)" "Perennial" "Subshrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "3.0" "Long" "Medium" "Intermediate" "Late Spring" 
"RUAL" "" "Rubus allegheniensis" "Allegheny blackberry" "USA (AL  AR  CA  CT  DC  DE  GA  IA  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  NC  NE  NH  NJ  NY  OH  OK  PA  RI  SC  TN  VA  VT  WI  WV)  CAN (BC  NB  NS  ON  PE  QC)" "Perennial" "Subshrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "6.0" "Short" "High" "Tolerant" "Mid Spring" 
"RUAL9" "" "Rubus alumnus" "oldfield blackberry" "USA (AR  CT  DC  IA  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  NC  NH  NJ  NY  OH  PA  RI  TN  VA  WI  WV)" "Perennial" "Subshrub" "L48 (N)" "Spring and Summer" "White" "Yes" "5.0" "Moderate" "Medium" "Intermediate" "Mid Spring" 
"RUAR2" "" "Rubus argutus" "sawtooth blackberry" "USA (AL  AR  CT  DE  FL  GA  HI  IL  IN  KY  LA  MA  MD  ME  MO  MS  NC  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  WV)" "Perennial" "Subshrub" "L48 (N)  HI (I)" "Spring" "White" "Yes" "8.2" "Moderate" "Medium" "Intolerant" "Spring" 
"RUBA2" "" "Rubus baileyanus" "Bailey's dewberry" "USA (CT  DC  IL  IN  KY  MA  MD  MI  MN  MO  NC  NJ  NY  OH  PA  RI  TN  VA  WI  WV)" "Perennial" "Subshrub" "L48 (N)" "Spring and Summer" "White" "Yes" "5.0" "Moderate" "Medium" "Intermediate" "Mid Spring" 
"RUCH" "" "Rubus chamaemorus" "cloudberry" "USA (AK  ME  MN  NH  NY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  DEN (GL)  FRA (SPM)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)  SPM (N)" "Spring and Summer" "White" "Yes" "1.0" "Short" "None" "Intermediate" "Late Spring" 
"RUCU" "" "Rubus cuneifolius" "sand blackberry" "USA (AL  CT  DC  DE  FL  GA  LA  MA  MD  MS  NC  NH  NJ  NY  PA  SC  TN  VA)" "Perennial" "Subshrub" "L48 (N)" "Spring and Summer" "White" "Yes" "3.0" "Short" "Low" "Intermediate" "Mid Spring" 
"RUHI" "" "Rubus hispidus" "bristly dewberry" "USA (CT  DC  DE  GA  IA  IL  IN  KS  KY  MA  MD  ME  MI  NC  NH  NJ  NY  OH  PA  RI  SC  TN  VA  VT  WA  WI  WV)  CAN (NB  NF  NS  ON  PE  QC)" "Perennial" "Subshrub" "L48 (N)  CAN (N)" "Spring" "White" "Yes" "2.0" "Moderate" "Medium" "Intolerant" "Spring" 
"RULE" "" "Rubus leucodermis" "whitebark raspberry" "USA (AK  AZ  CA  ID  MT  NM  NV  OR  UT  WA)  CAN (BC)" "Perennial" "Vine  Subshrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "1.0" "Short" "Low" "Intolerant" "Late Spring" 
"RUOC" "" "Rubus occidentalis" "black raspberry" "USA (AL  AR  CO  CT  DC  DE  GA  IA  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NY  OH  OK  PA  RI  SC  SD  TN  VA  VT  WI  WV)  CAN (NB  ON  QC)" "Perennial" "Subshrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "6.0" "Short" "Medium" "Intermediate" "Mid Spring" 
"RUOD" "" "Rubus odoratus" "purpleflowering raspberry" "USA (AL  CT  DC  DE  GA  IL  IN  KY  MA  MD  ME  MI  NC  NH  NJ  NY  OH  PA  RI  TN  VA  VT  WA  WI  WV)  CAN (NB  NS  ON  QC)" "Perennial" "Subshrub" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "5.0" "Short" "Medium" "Intermediate" "Late Spring" 
"RUPA" "" "Rubus parviflorus" "thimbleberry" "USA (AK  AZ  CA  CO  IA  ID  IL  MA  MI  MN  MT  NM  NV  OR  SD  UT  WA  WI  WY)  CAN (AB  BC  ON)" "Perennial" "Subshrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "4.0" "Moderate" "Medium" "Intermediate" "Spring" 
"RUSP" "" "Rubus spectabilis" "salmonberry" "USA (AK  CA  ID  OR  WA)  CAN (BC)" "Perennial" "Vine  Subshrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "12" "Moderate" "High" "Intermediate" "Early Spring" 
"RUUR" "" "Rubus ursinus" "California blackberry" "USA (CA  ID  MT  OR  WA)  CAN (BC)" "Perennial" "Subshrub" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "2.0" "Short" "Medium" "Intolerant" "Early Spring" 
"RUHI2" "" "Rudbeckia hirta" "blackeyed Susan" "USA (AK  AL  AR  CA  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NF  NS  ON  PE  QC  SK)" "Annual  Biennial  Perennial" "Forb/herb" "L48 (N)  AK (I)  CAN (N)" "Fall  Winter and Spring" "Orange" "Yes" "1.0" "Short" "Medium" "Intolerant" "Summer" 
"RULA3" "" "Rudbeckia laciniata" "cutleaf coneflower" "USA (AL  AR  AZ  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (BC  MB  NB  NS  ON  PE  QC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring" "Yellow" "Yes" "8.2" "Short" "High" "Tolerant" "Late Summer" 
"RUMA3" "" "Rudbeckia maxima" "great coneflower" "USA (AR  LA  OK  SC  TX)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Yellow" "Yes" "9.8" "Short" "None" "Intolerant" "Summer" 
"RUHU" "" "Ruellia humilis" "fringeleaf wild petunia" "USA (AL  AR  FL  GA  IA  IL  IN  KS  KY  LA  MD  MI  MN  MO  MS  NC  NE  OH  OK  PA  TN  TX  VA  WI  WV)" "Perennial" "Forb/herb" "L48 (N)" "Summer" "Purple" "Yes" "2.6" "Short" "Medium" "Tolerant" "Summer" 
"RUST2" "" "Ruellia strepens" "limestone wild petunia" "USA (AL  AR  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MD  MI  MO  MS  NC  NE  NJ  OH  OK  PA  SC  TN  TX  VA  WV)" "Perennial" "Forb/herb" "L48 (N)" "Spring" "Purple" "Yes" "3.6" "Short" "Medium" "Tolerant" "Early Spring" 
"SAPA" "" "Sabal palmetto" "cabbage palmetto" "USA (AL  FL  GA  LA  MS  NC  SC  TX)" "Perennial" "Tree" "L48 (N)" "Spring and Summer" "White" "Yes" "90" "Moderate" "Low" "Tolerant" "Summer" 
"SASA" "" "Sagina saginoides" "arctic pearlwort" "USA (AK  AZ  CA  CO  ID  MT  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  LB  NF  NT  NU  QC  YT)  DEN (GL)" "Biennial  Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)" "Spring and Summer" "White" "Yes" "0.3" "Moderate" "None" "Intermediate" "Early Spring" 
"SACU" "" "Sagittaria cuneata" "arumleaf arrowhead" "USA (AK  AZ  CA  CO  CT  IA  ID  IL  IN  KS  MA  ME  MI  MN  MT  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  SD  TX  UT  VT  WA  WI  WY)  CAN (AB  BC  LB  MB  NB  NS  NT  ON  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring" "Yellow" "Yes" "2.6" "Moderate" "None" "Intolerant" "Indeterminate" 
"SALA2" "" "Sagittaria latifolia" "broadleaf arrowhead" "USA (AL  AR  AZ  CA  CO  CT  DC  DE  FL  GA  HI  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  USA+ (PR)  CAN (AB  BC  MB  NB  NF  NS  ON  PE  QC  SK)" "Perennial" "Forb/herb" "L48 (N)  HI (I)  PR (N)  CAN (N)" "Spring" "Yellow" "Yes" "4.9" "Moderate" "None" "Intolerant" "Late Spring" 
"SAGE2" "" "Salix geyeriana" "Geyer willow" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "15" "Moderate" "None" "Tolerant" "Spring" 
"SAMO2" "" "Salix monticola" "park willow" "USA (AZ  CO  NM  UT  WY)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "White" "Yes" "12" "Short" "Medium" "Intolerant" "Late Spring" 
"SAPR3" "" "Salix prolixa" "MacKenzie's willow" "USA (AK  CA  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC  NT  YT)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "45" "Short" "Medium" "Intolerant" "Early Spring" 
"SARI4" "" "Salix richardsonii" "Richardson's willow" "USA (AK)  CAN (BC  MB  NT  NU  YT)" "Perennial" "Shrub  Tree" "AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "15" "Short" "Medium" "Intolerant" "Early Summer" 
"SASC" "" "Salix scouleriana" "Scouler's willow" "USA (AK  AZ  CA  CO  ID  MT  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  NT  SK  YT)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "50" "Moderate" "Medium" "Intermediate" "Early Spring" 
"SANIC4" "" "Sambucus nigra ssp. canadensis" "American black elderberry" "USA (AL  AR  AZ  CA  CO  CT  DC  DE  FL  GA  HI  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV  WY)  USA+ (PR  VI)  CAN (MB  NB  NS  ON  PE  QC)" "Perennial" "Tree  Shrub" "L48 (N)  HI (I)  PR (N)  VI (I)  CAN (N)" "Spring and Summer" "White" "Yes" "7.0" "Moderate" "Medium" "Intolerant" "Spring" 
"SANIC5" "" "Sambucus nigra ssp. cerulea" "blue elderberry" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  TX  UT  WA  WY)  CAN (BC)" "Perennial" "Shrub  Tree" "L48 (N)  CAN (N)" "Spring and Summer" "White" "Yes" "23" "Moderate" "High" "Intermediate" "Spring" 
"SARAR3" "" "Sambucus racemosa var. racemosa" "red elderberry" "USA (AK  AZ  CA  CO  CT  GA  IA  ID  IL  IN  KY  MA  MD  ME  MI  MN  MO  MT  NC  ND  NH  NJ  NM  NV  NY  OH  OR  PA  RI  SD  TN  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NF  NS  ON  PE  QC  SK  YT)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "18" "Moderate" "Low" "Intermediate" "Mid Summer" 
"SASAD" "" "Sapindus saponaria var. drummondii" "western soapberry" "USA (AR  AZ  CO  KS  LA  MO  NM  OK  TX)" "Perennial" "Tree  Shrub" "L48 (N)" "Summer" "White" "Yes" "20" "Long" "High" "Intolerant" "Spring" 
"SAAL5" "" "Sassafras albidum" "sassafras" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (ON)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "75" "Moderate" "High" "Intolerant" "Late Spring" 
"SCSE6" "" "Scaevola sericea" "beach naupaka" "USA (FL  HI)" "Perennial" "Shrub" "L48 (N)  HI (N)" "Year Round" "White" "Yes" "10" "Long" "High" "Intermediate" "Indeterminate" 
"SEHY" "" "Senecio hydrophiloides" "tall groundsel" "USA (CA  ID  MT  NV  OR  UT  WA  WY)  CAN (AB  BC)" "Biennial  Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "0.8" "Moderate" "None" "Tolerant" "Mid Spring" 
"SEIN2" "" "Senecio integerrimus" "lambstongue ragwort" "USA (CA  CO  IA  ID  KS  MN  MT  ND  NE  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  MB  SK)" "Biennial  Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.1" "Moderate" "Low" "Intermediate" "Mid Spring" 
"SETR" "" "Senecio triangularis" "arrowleaf ragwort" "USA (AK  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (AB  BC  NT  YT)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Summer and Fall" "Yellow" "Yes" "4.0" "Long" "Low" "Intermediate" "Mid Summer" 
"SEMA11" "" "Senna marilandica" "Maryland senna" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  MO  MS  NC  NE  NJ  NY  OH  OK  PA  SC  TN  TX  VA  WI  WV)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "6.6" "Moderate" "Medium" "Intermediate" "Summer" 
"SHAR" "" "Shepherdia argentea" "silver buffaloberry" "USA (AZ  CA  CO  IA  ID  KS  MI  MN  MT  ND  NE  NM  NV  NY  OR  SD  UT  WI  WY)  CAN (AB  BC  MB  SK)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "18" "Moderate" "Medium" "Intermediate" "Late Spring" 
"SHCA" "" "Shepherdia canadensis" "russet buffaloberry" "USA (AK  AZ  CA  CO  ID  IL  IN  ME  MI  MN  MT  ND  NM  NV  NY  OH  OR  PA  SD  UT  VT  WA  WI  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  QC  SK  YT)" "Perennial" "Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "6.0" "Moderate" "High" "Intermediate" "Late Spring" 
"SINE3" "" "Sidalcea neomexicana" "salt spring checkerbloom" "USA (AZ  CA  CO  ID  NE  NM  NV  OR  TX  UT  WY)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Purple" "Yes" "2.5" "Moderate" "Low" "Tolerant" "Mid Spring" 
"SIOR" "" "Sidalcea oregana" "Oregon checkerbloom" "USA (CA  ID  MT  NV  NY  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Purple" "Yes" "4.5" "Moderate" "None" "Tolerant" "Late Spring" 
"SIPE2" "" "Silphium perfoliatum" "cup plant" "USA (AL  AR  CT  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NJ  NY  OH  OK  PA  SD  TN  VA  VT  WI  WV)  CAN (ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Yellow" "Yes" "6.0" "" "Low" "Intermediate" "Late Summer" 
"SIAN3" "" "Sisyrinchium angustifolium" "narrowleaf blue-eyed grass" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (LB  NS  ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "2.0" "Short" "Low" "Intermediate" "Mid Spring" 
"SIID" "" "Sisyrinchium idahoense" "Idaho blue-eyed grass" "USA (AZ  CA  CO  ID  MT  NM  NV  OR  UT  WA  WY)  CAN (BC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Blue" "Yes" "1.7" "Moderate" "Low" "Tolerant" "Mid Spring" 
"SOAL6" "" "Solidago altissima" "Canada goldenrod" "USA (AL  AR  AZ  CA  CO  CT  DC  DE  FL  GA  HI  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV)  CAN (MB  NB  ON  PE  QC  SK)" "Perennial" "Forb/herb" "L48 (N)  HI (I)  CAN (N)" "" "" "" "" "" "" "" "" 
"SOAL6" "SOCAS5" "Solidago canadensis var. scabra" "" "" "" "" "" "Spring  Summer  Fall" "Yellow" "Yes" "5.0" "Moderate" "Low" "Intermediate" "Late Spring" 
"SOCA4" "" "Solidago caesia" "wreath goldenrod" "USA (AL  AR  CT  DE  FL  GA  IL  IN  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (NB  ON  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "3.0" "Short" "Low" "Intermediate" "Late Spring" 
"SOCA6" "" "Solidago canadensis" "Canada goldenrod" "USA (AK  AR  AZ  CA  CO  CT  DE  IA  ID  IL  IN  KS  KY  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  ON  PE  QC  SK  YT)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "3.5" "Long" "Medium" "Intolerant" "Late Summer" 
"SOFI" "" "Solidago fistulosa" "pine barren goldenrod" "USA (AL  DE  FL  GA  LA  MD  MS  NC  NJ  SC  VA)" "Perennial" "Forb/herb" "L48 (N)" "Summer and Fall" "Yellow" "Yes" "6.6" "Short" "Low" "Tolerant" "Late Summer" 
"SOFL2" "" "Solidago flexicaulis" "zigzag goldenrod" "USA (AL  AR  CT  DC  DE  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  NC  ND  NE  NH  NJ  NY  OH  PA  RI  SC  SD  TN  VA  VT  WI  WV)  CAN (NB  NS  ON  PE  QC)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.0" "Short" "Medium" "Intermediate" "Late Summer" 
"SOGI" "" "Solidago gigantea" "giant goldenrod" "USA (AL  AR  CA  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  MB  NB  NS  NT  ON  PE  QC  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Yellow" "Yes" "8.2" "Moderate" "Medium" "Intermediate" "Indeterminate" 
"SOMI2" "" "Solidago missouriensis" "Missouri goldenrod" "USA (AR  AZ  CO  IA  ID  IL  IN  KS  KY  MD  MI  MN  MO  MS  MT  ND  NE  NJ  NM  NV  OK  OR  SD  TN  TX  UT  WA  WI  WY)  CAN (AB  BC  MB  ON  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring  Summer  Fall" "Yellow" "Yes" "3.0" "Short" "High" "Intermediate" "Late Summer" 
"SOMU" "" "Solidago multiradiata" "Rocky Mountain goldenrod" "USA (AK  AZ  CA  CO  ID  ME  MT  NM  NV  OR  UT  WA  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  QC  SK  YT)" "Perennial" "Subshrub  Forb/herb" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "1.0" "Short" "Low" "Intolerant" "Late Summer" 
"SONE" "" "Solidago nemoralis" "gray goldenrod" "USA (AL  AR  CO  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WI  WV  WY)  CAN (AB  BC  MB  NB  NS  ON  PE  QC  SK)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "2.0" "Short" "Medium" "Intolerant" "Summer" 
"SOPA2" "" "Solidago patula" "roundleaf goldenrod" "USA (AL  AR  CT  DE  FL  GA  IA  IL  IN  KY  LA  MA  MD  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  SC  TN  TX  VA  VT  WI  WV)  CAN (ON)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)" "Summer" "Yellow" "Yes" "6.6" "Short" "Low" "Intermediate" "Fall" 
"SORU2" "" "Solidago rugosa" "wrinkleleaf goldenrod" "USA (AL  AR  CT  DC  DE  FL  GA  IL  IN  KY  LA  MA  MD  ME  MI  MO  MS  NC  NH  NJ  NY  OH  OK  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (LB  NB  NF  NS  ON  PE  QC)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "Yellow" "Yes" "3.3" "Moderate" "Medium" "Intermediate" "Late Summer" 
"SOSE" "" "Solidago sempervirens" "seaside goldenrod" "USA (AL  CT  DE  FL  GA  IL  IN  LA  MA  MD  ME  MI  MS  NC  NH  NJ  NY  OH  PA  RI  SC  TX  VA)  USA+ (PR)  CAN (NB  NF  NS  ON  PE  QC)" "Perennial" "Forb/herb" "L48 (N)  PR (I)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "3.5" "Short" "Medium" "Intolerant" "Late Summer" 
"SOULU" "" "Solidago uliginosa var. uliginosa" "bog goldenrod" "USA (AL  CT  DC  DE  GA  IA  IL  IN  MA  MD  ME  MI  MN  NC  NH  NJ  NY  OH  PA  RI  TN  VA  VT  WI  WV)  CAN (LB  MB  NB  NF  NS  ON  PE  QC)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  CAN (N)  SPM (N)" "Spring  Summer  Fall" "Yellow" "Yes" "2.5" "Moderate" "Low" "Intermediate" "Mid Summer" 
"SOSE3" "" "Sophora secundiflora" "mescal bean" "USA (NM  TX)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "Purple" "Yes" "15" "Long" "Medium" "Intolerant" "Early Spring" 
"SOAM3" "" "Sorbus americana" "American mountain ash" "USA (CT  GA  IL  MA  MD  ME  MI  MN  NC  NH  NJ  NY  PA  RI  SC  TN  VA  VT  WI  WV)  CAN (NB  NF  NS  ON  PE  QC)  FRA (SPM)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)  SPM (N)" "Spring and Summer" "White" "Yes" "40" "Moderate" "Low" "Intermediate" "Early Summer" 
"SODE3" "" "Sorbus decora" "northern mountain ash" "USA (CT  IA  IL  IN  MA  ME  MI  MN  NH  NY  OH  PA  VT  WI)  CAN (LB  MB  NB  NF  NS  ON  QC  SK)  DEN (GL)  FRA (SPM)" "Perennial" "Tree  Shrub" "L48 (N)  CAN (N)  GL (N)  SPM (N)" "Summer and Fall" "White" "Yes" "40" "Short" "Low" "Tolerant" "Early Summer" 
"SOSC2" "" "Sorbus scopulina" "Greene's mountain ash" "USA (AK  AZ  CA  CO  ID  MT  ND  NM  NV  OR  SD  UT  WA  WY)  CAN (AB  BC  NT  SK  YT)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "12" "Moderate" "None" "Intermediate" "Summer" 
"SOSIG" "" "Sorbus sitchensis var. grayi" "western mountain ash" "USA (AK  CA  OR  WA)  CAN (BC  YT)" "Perennial" "Tree  Shrub" "L48 (N)  AK (N)  CAN (N)" "Spring and Summer" "White" "Yes" "15" "Moderate" "Low" "Intolerant" "Late Spring" 
"SPAM2" "" "Sphaeralcea ambigua" "desert globemallow" "USA (AZ  CA  NV  UT)" "Perennial" "Subshrub  Forb/herb" "L48 (N)" "Spring and Summer" "Orange" "Yes" "5.0" "Short" "High" "Intolerant" "Early Spring" 
"SPCO" "" "Sphaeralcea coccinea" "scarlet globemallow" "USA (AZ  CO  IA  ID  KS  MN  MT  ND  NE  NM  NV  OK  OR  SD  TX  UT  WY)  CAN (AB  BC  MB  SK)" "Biennial  Perennial" "Subshrub  Forb/herb" "L48 (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "1.5" "Short" "High" "Intolerant" "Spring" 
